"Page","Section","Section Description"
"","Feature Section","Mission section (cream background, two-column): Left—eyebrow ""Our Purpose"", H2 ""Community Golf, Public Access"", 3-paragraph body copy outlining Nahma’s purpose, community focus, and public tradition."
"","Features List Section","Right—three cards: (1) What We Are (family-run, public, lakeside, est. 1922), (2) What We're Not (not private/resort, no dress code, no pretense), (3) What This Means for You (show up and play, $18, no barriers)."
"","Stats Section","Stats snapshot (sand background): H2 ""Course at a Glance"", grid with 1922 (established), 9 (holes), 36 (par), 2,875 (yards), $18 (green fee)."
"","CTA Section","Contact/Links section (cream background): H2 ""Get in Touch"", three spaced buttons (Contact, Rates, History) linking to /contact/, /rates/, /history/, followed by NAP block."
"","Footer",""
"Contact","Navbar",""
"","Header Section","Lakefront context in first sentence. Welcome note inviting questions about playing Nahma, leagues, outings, or the clubhouse. Mention ""since 1922"" within 100 words."
"","Contact Section","Display canonical address, phone, and email for Nahma Golf Club."
"","Contact Form Section","Simple form: Name, Email, Phone (optional), Message. Note: No tee time reservations required."
"","Locations Section","Map embed or static map showing the club’s location on Big Bay de Noc."
"","FAQ Section","Answer common questions: Are walk-ins welcome? When is the course open? How do I join a league or book an outing?"
"","CTA Section","Encourage a visit to experience the lakeside course or reach out for group outings."
"","Footer",""
"Golf Near Escanaba","Navbar",""
"","Header Section","Introduce Nahma Golf Club as the best lakeside option for Escanaba-area golfers, highlighting Big Bay de Noc in the opening sentence and noting “since 1922” within the first 100 words. Mention the $18 green fee and public access."
"","Features List Section","Three reasons for Escanaba golfers to choose Nahma: (1) Only local course on Big Bay de Noc, (2) Historic 1922 course with classic layout, (3) $18 green fee—affordable, walk-in friendly, no tee time required."
"","Feature Section","Full clubhouse experience: food, sandwiches, pizza, and a full bar for post-round relaxation."
"","Feature Section","Active calendar: weekly leagues, seasonal scrambles, and private group outings—easy to join or book for Escanaba groups."
"","Stats Section","Snapshot for Escanaba golfers: 9 holes, par 36, 2,875 yards, open May–September, walk-ins welcome."
"","CTA Section","Direct CTA inviting Escanaba golfers to visit Nahma Golf Club, view rates, or contact for group outings."
"","Locations Section","Quick directions and travel time from Escanaba, parking info, and reassurance about easy access from the city."
"","FAQ Section","Address common questions from Escanaba golfers (e.g., “How far is Nahma from Escanaba?”, “Are tee times required?”, “What’s the green fee?”, “Can I bring a group?”, “Is food available at the clubhouse?”)."
"","Footer",""
"Golf Near Rapid River","Navbar",""
"","Header Section","Introduce Nahma Golf Club as the closest lakeside golf course to Rapid River, always leading with Big Bay de Noc, and mention ""since 1922"" within the first 100 words. Highlight $18 green fee and direct, welcoming tone for local golfers."
"","Feature Section","Emphasize unique lakeside setting—no other course near Rapid River offers play right on Big Bay de Noc."
"","Feature Section","Highlight the club’s history as Delta County’s second oldest course, inviting Rapid River golfers to experience tradition and authenticity."
"","Features List Section","Summarize three points: affordable public access ($18 green fees), walk-ins always welcome (no tee time needed), and open May–September."
"","Services Section","Overview of clubhouse amenities (food, full bar), three weekly leagues, and availability for private group outings."
"","CTA Section","Encourage Rapid River golfers to visit for a round, join a league, or plan a group outing—directions from Rapid River included."
"","Contact Section","Quick reference to location, phone, and email for more info or group bookings."
"","Footer",""
"Golf Near Gladstone","Navbar",""
"","Header Section","Headline introducing Nahma Golf Club’s lakeside setting on Big Bay de Noc as the closest unique option for Gladstone golfers. First sentence mentions the lake and “since 1922” heritage."
"","Features List Section","Highlight features for Gladstone golfers: 1) $18 green fees for affordable play, 2) No tee time required (walk-ins welcome), 3) Quick scenic drive from Gladstone."
"","Feature Section","Emphasize the historic 9-hole course layout (par 36, 2,875 yards), with 18-hole play as replaying the 9."
"","Feature Section","Showcase the clubhouse experience: sandwiches, pizza, full bar, and a welcoming post-round atmosphere."
"","Feature Section","Spotlight active leagues, scrambles, and private outings for Gladstone golfers seeking community and events."
"","FAQ Section","Address common questions from Gladstone-area golfers (distance, directions, what to bring, how to join leagues, etc)."
"","CTA Section","Invite Gladstone golfers to visit Nahma for a lakeside round, join a league, or plan a group outing."
"","Contact Section","Brief contact info with address and phone, encouraging inquiries from Gladstone golfers."
"","Footer",""
"Golf Near Garden","Navbar",""
"","Header Section","Direct headline introducing Nahma Golf Club as the Garden area’s lakeside golf destination, with Bay view imagery and a mention of $18 green fee and “since 1922” within the first 100 words."
"","Feature Section","Highlight: Only course near Garden located directly on Big Bay de Noc—unmatched lakeside setting for Michigan golfers."
"","Feature Section","Emphasize: Authentic, historic public golf—Nahma has welcomed golfers since 1922 and is the second oldest course in Delta County."
"","Feature Section","Affordable play: $18 green fee for 9 holes (walk-ins always welcome, no tee times needed, replay for 18-hole play)."
"","Features List Section","Full clubhouse with food (snacks, sandwiches, pizza), full bar, and a welcoming post-round gathering spot."
"","Features List Section","Community calendar: Weekly leagues, seasonal scrambles, and private group outings available for Garden and Delta County golfers."
"","Stats Section","Quick facts: 9 holes, par 36, 2,875 yards, open May–September, easy drive from Garden, walk-ins welcome."
"","CTA Section","Prompt: Plan your next round near Garden—directions, hours, and league info, with a button to contact or get directions."
"","Newsletter Section","Invite Garden-area golfers to join the club’s mailing list for events and updates."
"","Contact Section","Simple section with address, phone, and email for easy inquiries from Garden visitors."
"","Footer",""
"Golf Near Manistique","Navbar",""
"","Header Section","Title: Golf Near Manistique, MI. Opening paragraph leads with Big Bay de Noc, positioning Nahma Golf Club as the closest lakeside golf option to Manistique. Mention ""since 1922"" and $18 green fee within the first 100 words. Direct, specific copy for Manistique-area golfers seeking a public course."
"","Features List Section","Three key benefits: Unique lakeside setting on Big Bay de Noc, affordable $18 green fees, welcoming walk-in play (no tee times required)."
"","Feature Section","Highlight easy drive from Manistique—include approximate distance/time, directions, and parking info."
"","Feature Section","Describe full clubhouse amenities: food, pizza, sandwiches, and full bar—ideal for post-round gatherings."
"","Stats Section","Showcase course stats: 9 holes, par 36, 2,875 yards, open May–September."
"","CTA Section","Encourage golfers from Manistique to plan a lakeside round or join a league, with a button to rates or contact."
"","Footer",""
"Blog","Navbar",""
"","Hero Header Section","Aerial photo of Nahma Golf Club and Big Bay de Noc, headline introducing the club’s blog, with first mention of the lake and ""since 1922""."
"","Featured Blog List Header Section","Highlight featured or recent blog articles, such as league recaps, local golf news, and course updates."
"","Blog List Section","List of all blog posts, including titles, excerpts, published dates, and featured images."
"","Newsletter Section","Invite visitors to subscribe for blog updates, club news, and event announcements."
"","Footer",""
"Blog Post: Best Golf Courses in Michigan's UP","Navbar",""
"","Blog Post Header Section","Hero image of Nahma Golf Club on Big Bay de Noc, blog post title, author, date, intro mentioning ""Big Bay de Noc"" and ""since 1922"" within first 100 words, $18 green fee if relevant."
"","Blog Post Body Section","Full article content: direct, honest comparison of Upper Peninsula golf courses, leading with Nahma Golf Club’s unique lakeside setting, history, and affordability. Mention other notable regional courses, their setting, and what sets each apart (no promotional language)."
"","Testimonial Section","Local golfer quotes about the regional golf experience and what makes playing at Nahma unique."
"","CTA Section","Encourage readers to explore Nahma Golf Club in person, visit the course, or contact for group outings, with direct links to contact and rates pages."
"","Footer",""
